,ANNISSA ESSAIBI GEORGE,MICHELLE WU,ALL OTHERS,BLANKS,BALLOTS CAST,VOTES CAST
1,207.0,378.0,0.0,6.0,591.0,585.0
2,116.0,214.0,0.0,1.0,331.0,330.0
3,283.0,666.0,4.0,3.0,956.0,953.0
4,100.0,223.0,2.0,1.0,326.0,325.0
5,131.0,275.0,2.0,2.0,410.0,408.0
6,116.0,234.0,0.0,3.0,353.0,350.0
7,120.0,240.0,4.0,2.0,366.0,364.0
8,167.0,309.0,2.0,5.0,483.0,478.0
9,127.0,245.0,0.0,5.0,377.0,372.0
10,75.0,136.0,0.0,7.0,218.0,211.0
11,316.0,259.0,2.0,3.0,580.0,577.0
12,346.0,235.0,4.0,6.0,591.0,585.0
13,357.0,316.0,3.0,5.0,681.0,676.0
14,184.0,147.0,3.0,0.0,334.0,334.0
15,,,,,,
1,442.0,489.0,5.0,7.0,943.0,936.0
2,428.0,628.0,8.0,10.0,1074.0,1064.0
3,302.0,426.0,1.0,3.0,732.0,729.0
4,293.0,300.0,3.0,1.0,597.0,596.0
5,432.0,346.0,0.0,4.0,782.0,778.0
6,507.0,433.0,2.0,8.0,950.0,942.0
7,395.0,380.0,5.0,4.0,784.0,780.0
1,610.0,623.0,4.0,3.0,1240.0,1237.0
2,215.0,301.0,0.0,2.0,518.0,516.0
3,247.0,310.0,0.0,1.0,558.0,557.0
4,285.0,375.0,0.0,1.0,661.0,660.0
5,382.0,876.0,1.0,1.0,1260.0,1259.0
6,573.0,1018.0,4.0,7.0,1602.0,1595.0
7,441.0,1004.0,6.0,3.0,1454.0,1451.0
8,462.0,1428.0,9.0,12.0,1911.0,1899.0
1,234.0,544.0,2.0,2.0,782.0,780.0
2,336.0,768.0,4.0,4.0,1112.0,1108.0
3,188.0,402.0,3.0,1.0,594.0,593.0
4,212.0,454.0,0.0,3.0,669.0,666.0
5,123.0,329.0,0.0,5.0,457.0,452.0
6,71.0,233.0,2.0,1.0,307.0,306.0
7,80.0,268.0,2.0,1.0,351.0,350.0
8,69.0,252.0,1.0,3.0,325.0,322.0
9,30.0,93.0,1.0,2.0,126.0,124.0
10,13.0,46.0,0.0,0.0,59.0,59.0
1,450.0,1155.0,5.0,7.0,1617.0,1610.0
2,72.0,330.0,0.0,3.0,405.0,402.0
2A,50.0,228.0,1.0,1.0,280.0,279.0
3,224.0,417.0,2.0,2.0,645.0,643.0
4,163.0,464.0,2.0,1.0,630.0,629.0
5,124.0,170.0,1.0,4.0,299.0,295.0
6,240.0,384.0,2.0,3.0,629.0,626.0
7,272.0,509.0,5.0,6.0,792.0,786.0
8,218.0,419.0,2.0,3.0,642.0,639.0
9,241.0,534.0,3.0,5.0,783.0,778.0
10,99.0,298.0,1.0,0.0,398.0,398.0
11,144.0,314.0,2.0,1.0,461.0,460.0
1,762.0,1226.0,6.0,10.0,2004.0,1994.0
2,227.0,191.0,5.0,1.0,424.0,423.0
3,361.0,286.0,1.0,3.0,651.0,648.0
4,420.0,267.0,3.0,2.0,692.0,690.0
5,389.0,263.0,1.0,1.0,654.0,653.0
6,452.0,159.0,3.0,6.0,620.0,614.0
7,440.0,195.0,3.0,4.0,642.0,638.0
8,446.0,169.0,4.0,2.0,621.0,619.0
9,520.0,149.0,1.0,4.0,674.0,670.0
1,444.0,135.0,1.0,4.0,584.0,580.0
2,492.0,226.0,1.0,2.0,721.0,719.0
3,546.0,244.0,2.0,3.0,795.0,792.0
4,337.0,189.0,2.0,2.0,530.0,528.0
5,230.0,225.0,2.0,5.0,462.0,457.0
6,205.0,208.0,0.0,2.0,415.0,413.0
7,114.0,183.0,1.0,2.0,300.0,298.0
8,261.0,239.0,2.0,11.0,513.0,502.0
9,213.0,180.0,2.0,1.0,396.0,395.0
10,106.0,253.0,0.0,3.0,362.0,359.0
1,107.0,334.0,2.0,3.0,446.0,443.0
2,240.0,550.0,8.0,9.0,807.0,798.0
3,58.0,204.0,2.0,3.0,267.0,264.0
4,39.0,125.0,3.0,6.0,173.0,167.0
5,86.0,271.0,3.0,3.0,363.0,360.0
6,62.0,99.0,1.0,2.0,164.0,162.0
7,74.0,203.0,4.0,1.0,282.0,281.0
1,163.0,450.0,1.0,5.0,619.0,614.0
2,212.0,585.0,1.0,5.0,803.0,798.0
3,164.0,575.0,2.0,9.0,750.0,741.0
4,92.0,331.0,5.0,3.0,431.0,428.0
5,144.0,574.0,1.0,5.0,724.0,719.0
1,92.0,234.0,1.0,3.0,330.0,327.0
