,ALL OTHERS,ANNISSA ESSAIBI GEORGE,BALLOTS CAST,BLANKS,MICHELLE WU,VOTES CAST
1,0.0,207.0,591.0,6.0,378.0,585.0
2,0.0,116.0,331.0,1.0,214.0,330.0
3,4.0,283.0,956.0,3.0,666.0,953.0
4,2.0,100.0,326.0,1.0,223.0,325.0
5,2.0,131.0,410.0,2.0,275.0,408.0
6,0.0,116.0,353.0,3.0,234.0,350.0
7,4.0,120.0,366.0,2.0,240.0,364.0
8,2.0,167.0,483.0,5.0,309.0,478.0
9,0.0,127.0,377.0,5.0,245.0,372.0
10,0.0,75.0,218.0,7.0,136.0,211.0
11,2.0,316.0,580.0,3.0,259.0,577.0
12,4.0,346.0,591.0,6.0,235.0,585.0
13,3.0,357.0,681.0,5.0,316.0,676.0
14,3.0,184.0,334.0,0.0,147.0,334.0
15,,,,,,
1,5.0,442.0,943.0,7.0,489.0,936.0
2,8.0,428.0,1074.0,10.0,628.0,1064.0
3,1.0,302.0,732.0,3.0,426.0,729.0
4,3.0,293.0,597.0,1.0,300.0,596.0
5,0.0,432.0,782.0,4.0,346.0,778.0
6,2.0,507.0,950.0,8.0,433.0,942.0
7,5.0,395.0,784.0,4.0,380.0,780.0
1,4.0,610.0,1240.0,3.0,623.0,1237.0
2,0.0,215.0,518.0,2.0,301.0,516.0
3,0.0,247.0,558.0,1.0,310.0,557.0
4,0.0,285.0,661.0,1.0,375.0,660.0
5,1.0,382.0,1260.0,1.0,876.0,1259.0
6,4.0,573.0,1602.0,7.0,1018.0,1595.0
7,6.0,441.0,1454.0,3.0,1004.0,1451.0
8,9.0,462.0,1911.0,12.0,1428.0,1899.0
1,2.0,234.0,782.0,2.0,544.0,780.0
2,4.0,336.0,1112.0,4.0,768.0,1108.0
3,3.0,188.0,594.0,1.0,402.0,593.0
4,0.0,212.0,669.0,3.0,454.0,666.0
5,0.0,123.0,457.0,5.0,329.0,452.0
6,2.0,71.0,307.0,1.0,233.0,306.0
7,2.0,80.0,351.0,1.0,268.0,350.0
8,1.0,69.0,325.0,3.0,252.0,322.0
9,1.0,30.0,126.0,2.0,93.0,124.0
10,0.0,13.0,59.0,0.0,46.0,59.0
1,5.0,450.0,1617.0,7.0,1155.0,1610.0
2,0.0,72.0,405.0,3.0,330.0,402.0
2A,1.0,50.0,280.0,1.0,228.0,279.0
3,2.0,224.0,645.0,2.0,417.0,643.0
4,2.0,163.0,630.0,1.0,464.0,629.0
5,1.0,124.0,299.0,4.0,170.0,295.0
6,2.0,240.0,629.0,3.0,384.0,626.0
7,5.0,272.0,792.0,6.0,509.0,786.0
8,2.0,218.0,642.0,3.0,419.0,639.0
9,3.0,241.0,783.0,5.0,534.0,778.0
10,1.0,99.0,398.0,0.0,298.0,398.0
11,2.0,144.0,461.0,1.0,314.0,460.0
1,6.0,762.0,2004.0,10.0,1226.0,1994.0
2,5.0,227.0,424.0,1.0,191.0,423.0
3,1.0,361.0,651.0,3.0,286.0,648.0
4,3.0,420.0,692.0,2.0,267.0,690.0
5,1.0,389.0,654.0,1.0,263.0,653.0
6,3.0,452.0,620.0,6.0,159.0,614.0
7,3.0,440.0,642.0,4.0,195.0,638.0
8,4.0,446.0,621.0,2.0,169.0,619.0
9,1.0,520.0,674.0,4.0,149.0,670.0
1,1.0,444.0,584.0,4.0,135.0,580.0
2,1.0,492.0,721.0,2.0,226.0,719.0
3,2.0,546.0,795.0,3.0,244.0,792.0
4,2.0,337.0,530.0,2.0,189.0,528.0
5,2.0,230.0,462.0,5.0,225.0,457.0
6,0.0,205.0,415.0,2.0,208.0,413.0
7,1.0,114.0,300.0,2.0,183.0,298.0
8,2.0,261.0,513.0,11.0,239.0,502.0
9,2.0,213.0,396.0,1.0,180.0,395.0
10,0.0,106.0,362.0,3.0,253.0,359.0
1,2.0,107.0,446.0,3.0,334.0,443.0
2,8.0,240.0,807.0,9.0,550.0,798.0
3,2.0,58.0,267.0,3.0,204.0,264.0
4,3.0,39.0,173.0,6.0,125.0,167.0
5,3.0,86.0,363.0,3.0,271.0,360.0
6,1.0,62.0,164.0,2.0,99.0,162.0
7,4.0,74.0,282.0,1.0,203.0,281.0
1,1.0,163.0,619.0,5.0,450.0,614.0
2,1.0,212.0,803.0,5.0,585.0,798.0
